timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;BANANAS;4997;26;;;;;5003;26;;;;;5000.0;0.0
100;BANANAS;4997;20;;;;;4998;1;5004.0;20.0;;;4997.5;2.86328125
200;BANANAS;4997;31;;;;;5004;31;;;;;5000.5;2.53662109375
300;BANANAS;4997;27;;;;;5004;27;;;;;5000.5;2.40576171875
400;BANANAS;4997;20;;;;;5002;9;5004.0;20.0;;;4999.5;2.92578125
500;BANANAS;5002;1;4997.0;30.0;;;5004;30;;;;;5003.0;2.56591796875
600;BANANAS;4997;30;;;;;5004;30;;;;;5000.5;2.388671875
700;BANANAS;4998;5;4997.0;28.0;;;5004;28;;;;;5001.0;2.603515625
800;BANANAS;5003;1;4997.0;23.0;;;5004;23;;;;;5003.5;2.37255859375
900;BANANAS;4997;30;;;;;5004;30;;;;;5000.5;2.22802734375
1000;BANANAS;4998;2;4997.0;22.0;;;5004;24;;;;;5001.0;2.11181640625
1100;BANANAS;4998;3;4997.0;25.0;;;5004;26;;;;;5001.0;-0.796875
1200;BANANAS;4999;6;4998.0;28.0;;;5004;1;5005.0;27.0;;;5001.5;-1.2314453125
1300;BANANAS;5000;3;4997.0;23.0;;;5004;23;;;;;5002.0;-0.642578125
1400;BANANAS;4997;26;;;;;5004;26;;;;;5000.5;-5.8046875
1500;BANANAS;4997;27;;;;;5004;27;;;;;5000.5;-39.6953125
1600;BANANAS;4998;1;4997.0;23.0;;;5004;24;;;;;5001.0;-41.015625
1700;BANANAS;4997;28;;;;;5002;6;5004.0;28.0;;;4999.5;-41.3203125
1800;BANANAS;5003;1;4998.0;10.0;4997.0;24.0;5004;24;;;;;5003.5;-38.96875
1900;BANANAS;5002;1;4997.0;26.0;;;5004;26;;;;;5003.0;-30.109375
2000;BANANAS;5002;1;4997.0;31.0;;;5004;31;;;;;5003.0;-27.9375
2100;BANANAS;4997;22;;;;;5004;22;;;;;5000.5;-26.2734375
2200;BANANAS;4997;26;;;;;5003;1;5004.0;25.0;;;5000.0;-23.8359375
2300;BANANAS;4997;30;;;;;5004;30;;;;;5000.5;-35.171875
2400;BANANAS;4998;30;;;;;5005;30;;;;;5001.5;-43.9765625
2500;BANANAS;4997;21;;;;;5004;21;;;;;5000.5;-20.1953125
2600;BANANAS;4996;22;;;;;5003;22;;;;;4999.5;-3.6171875
2700;BANANAS;4996;27;;;;;5001;8;5002.0;1.0;5003.0;26.0;4998.5;-2.0703125
2800;BANANAS;4996;28;;;;;5003;28;;;;;4999.5;1.6484375
2900;BANANAS;4996;30;;;;;5003;30;;;;;4999.5;-0.203125
3000;BANANAS;4996;28;;;;;5002;2;5003.0;26.0;;;4999.0;-2.09375
3100;BANANAS;5002;1;4997.0;25.0;;;5003;2;5004.0;23.0;;;5002.5;-20.6328125
3200;BANANAS;4996;28;;;;;5003;28;;;;;4999.5;-10.8671875
3300;BANANAS;4996;20;;;;;5003;20;;;;;4999.5;-10.96875
3400;BANANAS;4997;23;;;;;5003;1;5004.0;22.0;;;5000.0;-38.1796875
3500;BANANAS;5003;1;4997.0;31.0;;;5004;31;;;;;5003.5;-44.59375
3600;BANANAS;4998;3;4997.0;26.0;;;5004;26;;;;;5001.0;-51.1796875
